month,channel,city,units_sold,list_sales_inr,discounts_inr,net_sales_inr,variable_cost_inr,marketing_spend_inr,active_consumers,repeat_consumers,new_consumers,outlets_or_listings,availability_rate,is_simulated,data_note
2024-02-01,E-commerce,Mumbai,14708,2029704,263746.87,1765957.13,1029560,106986.17,10356,5257,1912,21,0.5967,True,Simulated assumption; not Red Bull private data
2024-02-01,E-commerce,Delhi NCR,15277,2108226,236642.92,1871583.08,1069390,97596.44,11314,5795,2050,23,0.6377,True,Simulated assumption; not Red Bull private data
2024-02-01,E-commerce,Bengaluru,15726,2170188,397690.46,1772497.54,1100820,89977.32,11527,5929,2034,23,0.6254,True,Simulated assumption; not Red Bull private data
2024-02-01,E-commerce,Hyderabad,13567,1872246,312780.12,1559465.88,949690,112490.22,9355,4434,1487,20,0.6507,True,Simulated assumption; not Red Bull private data
2024-02-01,E-commerce,Pune,12546,1731348,281998.32,1449349.68,878220,114873.94,9608,4792,1846,20,0.6111,True,Simulated assumption; not Red Bull private data
2024-02-01,E-commerce,Chennai,10882,1501716,232976.21,1268739.79,761740,76155.32,7800,4009,1524,20,0.6418,True,Simulated assumption; not Red Bull private data
2024-02-01,Quick commerce,Mumbai,18513,2776950,483151.54,2293798.46,1369962,153782.57,12569,5969,2559,25,0.6053,True,Simulated assumption; not Red Bull private data
2024-02-01,Quick commerce,Delhi NCR,17807,2671050,490519.42,2180530.58,1317718,134895.17,13216,6156,2958,24,0.5951,True,Simulated assumption; not Red Bull private data
2024-02-01,Quick commerce,Bengaluru,18345,2751750,623768.23,2127981.77,1357530,156221.2,13645,6247,2915,30,0.6839,True,Simulated assumption; not Red Bull private data
2024-02-01,Quick commerce,Hyderabad,14951,2242650,452419.94,1790230.06,1106374,102201.84,10582,4924,2219,21,0.6112,True,Simulated assumption; not Red Bull private data
2024-02-01,Quick commerce,Pune,12559,1883850,301907.33,1581942.67,929366,94029.55,9031,4111,2080,20,0.6079,True,Simulated assumption; not Red Bull private data
2024-02-01,Quick commerce,Chennai,13228,1984200,414088.08,1570111.92,978872,117837.93,9762,4587,2015,20,0.6035,True,Simulated assumption; not Red Bull private data
2024-02-01,Cafés,Mumbai,10725,1876875,94141.19,1782733.81,879450,106026.07,8172,4508,925,25,0.6277,True,Simulated assumption; not Red Bull private data
2024-02-01,Cafés,Delhi NCR,9263,1621025,49462.24,1571562.76,759566,120397.28,6853,3912,767,21,0.6433,True,Simulated assumption; not Red Bull private data
2024-02-01,Cafés,Bengaluru,10220,1788500,75623.46,1712876.54,838040,118631.84,7266,3717,739,26,0.6544,True,Simulated assumption; not Red Bull private data
2024-02-01,Cafés,Hyderabad,7071,1237425,39613.68,1197811.32,579822,80007.13,4985,2974,560,20,0.6436,True,Simulated assumption; not Red Bull private data
2024-02-01,Cafés,Pune,7253,1269275,13931.61,1255343.39,594746,98523.6,5209,2944,582,20,0.6148,True,Simulated assumption; not Red Bull private data
2024-02-01,Cafés,Chennai,7669,1342075,97227.14,1244847.86,628858,95415.63,5330,3068,580,20,0.6209,True,Simulated assumption; not Red Bull private data
2024-02-01,Sports/events,Mumbai,6339,1014240,67321.34,946918.66,494442,79068.45,5026,1786,1388,20,0.6433,True,Simulated assumption; not Red Bull private data
2024-02-01,Sports/events,Delhi NCR,6281,1004960,0.0,1004960.0,489918,81986.84,4902,1616,1365,20,0.6113,True,Simulated assumption; not Red Bull private data
2024-02-01,Sports/events,Bengaluru,6454,1032640,37372.94,995267.06,503412,94705.6,4785,1734,1317,20,0.6486,True,Simulated assumption; not Red Bull private data
2024-02-01,Sports/events,Hyderabad,5328,852480,33780.33,818699.67,415584,96563.75,4299,1542,1227,20,0.6062,True,Simulated assumption; not Red Bull private data
2024-02-01,Sports/events,Pune,4703,752480,0.0,752480.0,366834,69717.91,3556,1282,991,20,0.6505,True,Simulated assumption; not Red Bull private data
2024-02-01,Sports/events,Chennai,4550,728000,18934.4,709065.6,354900,72505.58,3421,1169,988,20,0.6095,True,Simulated assumption; not Red Bull private data
2024-03-01,Grocery,Mumbai,22072,2759000,288994.45,2470005.55,1500896,136128.71,17102,7119,2611,42,0.6151,True,Simulated assumption; not Red Bull private data
2024-03-01,Grocery,Delhi NCR,21771,2721375,252150.43,2469224.57,1480428,102154.93,17350,6986,2493,52,0.6843,True,Simulated assumption; not Red Bull private data
2024-03-01,Grocery,Bengaluru,25190,3148750,218651.22,2930098.78,1712920,153067.82,17362,6965,2549,57,0.6643,True,Simulated assumption; not Red Bull private data
2024-03-01,Grocery,Hyderabad,17784,2223000,235730.24,1987269.76,1209312,108809.84,12821,5625,1862,40,0.6575,True,Simulated assumption; not Red Bull private data
2024-03-01,Grocery,Pune,19316,2414500,287502.15,2126997.85,1313488,111264.99,14562,5894,2209,40,0.6552,True,Simulated assumption; not Red Bull private data
2024-03-01,Grocery,Chennai,16725,2090625,166905.1,1923719.9,1137300,130524.96,12462,5121,2004,38,0.6448,True,Simulated assumption; not Red Bull private data
2024-03-01,Convenience,Mumbai,31145,4516025,391642.5,4124382.5,2242440,142552.77,22248,10525,3089,67,0.5837,True,Simulated assumption; not Red Bull private data
2024-03-01,Convenience,Delhi NCR,35452,5140540,618270.35,4522269.65,2552544,176524.89,23872,11334,3058,83,0.6162,True,Simulated assumption; not Red Bull private data
2024-03-01,Convenience,Bengaluru,34359,4982055,470749.54,4511305.46,2473848,199348.59,25780,13263,3380,79,0.6404,True,Simulated assumption; not Red Bull private data
2024-03-01,Convenience,Hyderabad,23965,3474925,331443.28,3143481.72,1725480,139585.08,17219,8799,2218,64,0.6164,True,Simulated assumption; not Red Bull private data
2024-03-01,Convenience,Pune,25779,3737955,353915.11,3384039.89,1856088,150278.4,18950,9482,2423,53,0.6436,True,Simulated assumption; not Red Bull private data
2024-03-01,Convenience,Chennai,23727,3440415,197615.45,3242799.55,1708344,170894.04,16137,7307,2148,54,0.5799,True,Simulated assumption; not Red Bull private data
2024-03-01,E-commerce,Mumbai,17810,2457780,466046.95,1991733.05,1246700,107471.85,12270,6314,2247,30,0.6545,True,Simulated assumption; not Red Bull private data
2024-03-01,E-commerce,Delhi NCR,16765,2313570,415731.36,1897838.64,1173550,112877.04,12497,6522,2190,23,0.632,True,Simulated assumption; not Red Bull private data
2024-03-01,E-commerce,Bengaluru,19671,2714598,515149.38,2199448.62,1376970,137034.78,14063,7108,2500,30,0.5877,True,Simulated assumption; not Red Bull private data
2024-03-01,E-commerce,Hyderabad,13793,1903434,284244.32,1619189.68,965510,89936.98,9644,4667,1718,21,0.6379,True,Simulated assumption; not Red Bull private data
2024-03-01,E-commerce,Pune,13744,1896672,273556.35,1623115.65,962080,77705.79,9605,4649,1777,20,0.6602,True,Simulated assumption; not Red Bull private data
2024-03-01,E-commerce,Chennai,13668,1886184,320007.77,1566176.23,956760,129534.15,9935,4930,1679,20,0.6611,True,Simulated assumption; not Red Bull private data
2024-03-01,Quick commerce,Mumbai,19063,2859450,546801.73,2312648.27,1410662,115217.22,14595,6177,2835,25,0.6805,True,Simulated assumption; not Red Bull private data
2024-03-01,Quick commerce,Delhi NCR,20300,3045000,630511.93,2414488.07,1502200,106017.64,14205,6636,2991,30,0.6393,True,Simulated assumption; not Red Bull private data
2024-03-01,Quick commerce,Bengaluru,21102,3165300,655070.21,2510229.79,1561548,118179.21,15958,6924,2974,32,0.6737,True,Simulated assumption; not Red Bull private data
2024-03-01,Quick commerce,Hyderabad,14895,2234250,389841.83,1844408.17,1102230,82682.11,11318,5533,2438,20,0.6217,True,Simulated assumption; not Red Bull private data
2024-03-01,Quick commerce,Pune,15609,2341350,468940.29,1872409.71,1155066,114475.61,12372,6046,2745,20,0.6654,True,Simulated assumption; not Red Bull private data
2024-03-01,Quick commerce,Chennai,15518,2327700,502761.46,1824938.54,1148332,98482.52,11657,5501,2525,22,0.5994,True,Simulated assumption; not Red Bull private data
2024-03-01,Cafés,Mumbai,10007,1751225,91222.23,1660002.77,820574,116663.45,7697,4489,904,24,0.6778,True,Simulated assumption; not Red Bull private data
2024-03-01,Cafés,Delhi NCR,10065,1761375,88599.5,1672775.5,825330,114815.59,7369,4061,757,23,0.642,True,Simulated assumption; not Red Bull private data
2024-03-01,Cafés,Bengaluru,11217,1962975,186362.94,1776612.06,919794,83567.89,8164,4497,888,24,0.6402,True,Simulated assumption; not Red Bull private data
2024-03-01,Cafés,Hyderabad,7896,1381800,43316.04,1338483.96,647472,79089.72,5779,2979,631,20,0.6705,True,Simulated assumption; not Red Bull private data
2024-03-01,Cafés,Pune,8128,1422400,107598.76,1314801.24,666496,101051.17,5604,3119,628,21,0.6715,True,Simulated assumption; not Red Bull private data
2024-03-01,Cafés,Chennai,7212,1262100,58932.86,1203167.14,591384,84298.22,5243,2863,560,20,0.6314,True,Simulated assumption; not Red Bull private data
2024-03-01,Sports/events,Mumbai,7083,1133280,16204.03,1117075.97,552474,79161.4,5337,1939,1459,20,0.6799,True,Simulated assumption; not Red Bull private data
2024-03-01,Sports/events,Delhi NCR,5933,949280,899.93,948380.07,462774,96418.14,4432,1597,1277,20,0.5772,True,Simulated assumption; not Red Bull private data
2024-03-01,Sports/events,Bengaluru,7832,1253120,49997.42,1203122.58,610896,63558.14,5755,2017,1594,20,0.6797,True,Simulated assumption; not Red Bull private data
2024-03-01,Sports/events,Hyderabad,5614,898240,68207.56,830032.44,437892,111606.4,4195,1602,1210,20,0.6531,True,Simulated assumption; not Red Bull private data
2024-03-01,Sports/events,Pune,5727,916320,100310.78,816009.22,446706,75120.87,4439,1577,1255,20,0.6448,True,Simulated assumption; not Red Bull private data
2024-03-01,Sports/events,Chennai,5227,836320,30914.07,805405.93,407706,56763.79,3967,1331,1188,20,0.6079,True,Simulated assumption; not Red Bull private data
2024-04-01,Grocery,Mumbai,25561,3195125,314846.72,2880278.28,1738148,125018.09,19491,7801,2864,58,0.6548,True,Simulated assumption; not Red Bull private data
2024-04-01,Grocery,Delhi NCR,23175,2896875,309883.37,2586991.63,1575900,161717.11,17146,6724,2320,55,0.6505,True,Simulated assumption; not Red Bull private data
2024-04-01,Grocery,Bengaluru,26312,3289000,320396.28,2968603.72,1789216,167943.29,20154,8135,2845,57,0.6632,True,Simulated assumption; not Red Bull private data
2024-04-01,Grocery,Hyderabad,20404,2550500,334430.96,2216069.04,1387472,96875.56,14031,5721,2045,46,0.657,True,Simulated assumption; not Red Bull private data
2024-04-01,Grocery,Pune,21145,2643125,243712.89,2399412.11,1437860,130703.55,15066,6433,2086,51,0.6586,True,Simulated assumption; not Red Bull private data
2024-04-01,Grocery,Chennai,20750,2593750,249814.28,2343935.72,1411000,152699.8,16575,6906,2327,49,0.6291,True,Simulated assumption; not Red Bull private data
2024-04-01,Convenience,Mumbai,35080,5086600,311330.97,4775269.03,2525760,183852.23,24968,12398,3433,93,0.6692,True,Simulated assumption; not Red Bull private data
2024-04-01,Convenience,Delhi NCR,29679,4303455,490962.75,3812492.25,2136888,146017.1,20912,10079,2640,69,0.7031,True,Simulated assumption; not Red Bull private data
2024-04-01,Convenience,Bengaluru,36365,5272925,399461.01,4873463.99,2618280,188005.17,26624,12782,3538,94,0.6972,True,Simulated assumption; not Red Bull private data
2024-04-01,Convenience,Hyderabad,29114,4221530,370399.16,3851130.84,2096208,146606.4,21176,10498,2872,70,0.6782,True,Simulated assumption; not Red Bull private data
2024-04-01,Convenience,Pune,28754,4169330,384700.61,3784629.39,2070288,157867.23,20689,10047,2295,70,0.5648,True,Simulated assumption; not Red Bull private data
2024-04-01,Convenience,Chennai,26387,3826115,141234.97,3684880.03,1899864,181726.03,18365,8595,2551,60,0.7121,True,Simulated assumption; not Red Bull private data
2024-04-01,E-commerce,Mumbai,19252,2656776,451524.4,2205251.6,1347640,107025.88,14074,6790,2519,27,0.6219,True,Simulated assumption; not Red Bull private data
2024-04-01,E-commerce,Delhi NCR,17416,2403408,393207.64,2010200.36,1219120,116552.74,12683,6278,2270,25,0.6714,True,Simulated assumption; not Red Bull private data
2024-04-01,E-commerce,Bengaluru,18385,2537130,367902.1,2169227.9,1286950,120211.54,13150,6248,2419,27,0.6177,True,Simulated assumption; not Red Bull private data
2024-04-01,E-commerce,Hyderabad,16093,2220834,390282.8,1830551.2,1126510,137013.62,11999,5704,2195,22,0.6439,True,Simulated assumption; not Red Bull private data
2024-04-01,E-commerce,Pune,15998,2207724,423361.74,1784362.26,1119860,105397.03,12246,6099,2243,24,0.659,True,Simulated assumption; not Red Bull private data
2024-04-01,E-commerce,Chennai,14762,2037156,352976.2,1684179.8,1033340,119377.73,10422,5135,1935,21,0.6645,True,Simulated assumption; not Red Bull private data
2024-04-01,Quick commerce,Mumbai,21395,3209250,695611.3,2513638.7,1583230,149999.36,15911,7002,3582,29,0.6146,True,Simulated assumption; not Red Bull private data
2024-04-01,Quick commerce,Delhi NCR,19882,2982300,518544.15,2463755.85,1471268,109995.88,14406,6548,3118,29,0.6639,True,Simulated assumption; not Red Bull private data
2024-04-01,Quick commerce,Bengaluru,23392,3508800,737710.15,2771089.85,1731008,160259.01,16887,7175,3552,33,0.6821,True,Simulated assumption; not Red Bull private data
2024-04-01,Quick commerce,Hyderabad,18144,2721600,625126.64,2096473.36,1342656,138818.56,13550,6117,2845,27,0.6421,True,Simulated assumption; not Red Bull private data
2024-04-01,Quick commerce,Pune,17804,2670600,587911.13,2082688.87,1317496,114058.29,13551,6385,2860,23,0.6345,True,Simulated assumption; not Red Bull private data
2024-04-01,Quick commerce,Chennai,16873,2530950,472170.07,2058779.93,1248602,144728.38,12577,5533,2614,24,0.7171,True,Simulated assumption; not Red Bull private data
2024-04-01,Cafés,Mumbai,11857,2074975,32301.36,2042673.64,972274,119093.04,8686,4797,976,27,0.6924,True,Simulated assumption; not Red Bull private data
2024-04-01,Cafés,Delhi NCR,11236,1966300,75876.02,1890423.98,921352,85714.25,8078,4276,908,29,0.6541,True,Simulated assumption; not Red Bull private data
2024-04-01,Cafés,Bengaluru,10664,1866200,84124.3,1782075.7,874448,97717.59,7196,3831,800,28,0.7262,True,Simulated assumption; not Red Bull private data
2024-04-01,Cafés,Hyderabad,9722,1701350,60117.84,1641232.16,797204,72587.22,6964,3888,768,23,0.6458,True,Simulated assumption; not Red Bull private data
2024-04-01,Cafés,Pune,7887,1380225,20768.6,1359456.4,646734,71165.54,5621,3027,618,20,0.6605,True,Simulated assumption; not Red Bull private data
2024-04-01,Cafés,Chennai,8782,1536850,51636.05,1485213.95,720124,70064.83,6454,3670,754,22,0.6714,True,Simulated assumption; not Red Bull private data
2024-04-01,Sports/events,Mumbai,7656,1224960,55072.58,1169887.42,597168,79055.02,5873,2013,1635,20,0.677,True,Simulated assumption; not Red Bull private data
2024-04-01,Sports/events,Delhi NCR,7070,1131200,75999.62,1055200.38,551460,85793.02,5225,1887,1521,20,0.647,True,Simulated assumption; not Red Bull private data
2024-04-01,Sports/events,Bengaluru,7290,1166400,45257.33,1121142.67,568620,57983.57,5440,1907,1558,20,0.6492,True,Simulated assumption; not Red Bull private data
2024-04-01,Sports/events,Hyderabad,6081,972960,72274.9,900685.1,474318,59404.98,4157,1449,1189,20,0.6905,True,Simulated assumption; not Red Bull private data
2024-04-01,Sports/events,Pune,6263,1002080,25930.38,976149.62,488514,67022.2,4680,1679,1357,20,0.598,True,Simulated assumption; not Red Bull private data
2024-04-01,Sports/events,Chennai,5416,866560,0.0,866560.0,422448,95510.9,4153,1519,1181,20,0.6818,True,Simulated assumption; not Red Bull private data
2024-05-01,Grocery,Mumbai,29636,3704500,387496.06,3317003.94,2015248,128987.55,21380,9198,3224,70,0.7048,True,Simulated assumption; not Red Bull private data
2024-05-01,Grocery,Delhi NCR,25024,3128000,121141.8,3006858.2,1701632,118599.08,18199,7575,2524,54,0.6465,True,Simulated assumption; not Red Bull private data
2024-05-01,Grocery,Bengaluru,32040,4005000,646549.59,3358450.41,2178720,129664.89,23301,9392,3161,75,0.6431,True,Simulated assumption; not Red Bull private data
2024-05-01,Grocery,Hyderabad,21085,2635625,257971.65,2377653.35,1433780,129066.09,15653,6658,2396,44,0.6894,True,Simulated assumption; not Red Bull private data
2024-05-01,Grocery,Pune,22884,2860500,228824.86,2631675.14,1556112,98229.47,15958,6628,2437,57,0.6645,True,Simulated assumption; not Red Bull private data
2024-05-01,Grocery,Chennai,22279,2784875,385132.82,2399742.18,1514972,157419.27,16935,7594,2789,47,0.6448,True,Simulated assumption; not Red Bull private data
2024-05-01,Convenience,Mumbai,35907,5206515,609802.5,4596712.5,2585304,172215.17,25699,12516,3323,81,0.6511,True,Simulated assumption; not Red Bull private data
2024-05-01,Convenience,Delhi NCR,34986,5072970,315495.99,4757474.01,2518992,177521.49,25841,12788,3277,82,0.6502,True,Simulated assumption; not Red Bull private data
2024-05-01,Convenience,Bengaluru,36495,5291775,72535.9,5219239.1,2627640,165481.15,24241,11148,3360,86,0.7003,True,Simulated assumption; not Red Bull private data
2024-05-01,Convenience,Hyderabad,32666,4736570,427591.79,4308978.21,2351952,149210.53,24343,11982,3073,81,0.6822,True,Simulated assumption; not Red Bull private data
2024-05-01,Convenience,Pune,28106,4075370,270038.84,3805331.16,2023632,161369.95,20586,9994,2570,67,0.6823,True,Simulated assumption; not Red Bull private data
2024-05-01,Convenience,Chennai,31035,4500075,429553.61,4070521.39,2234520,196661.71,21745,11052,2751,80,0.6697,True,Simulated assumption; not Red Bull private data
2024-05-01,E-commerce,Mumbai,18981,2619378,418304.88,2201073.12,1328670,117776.42,12943,6690,2506,25,0.6755,True,Simulated assumption; not Red Bull private data
2024-05-01,E-commerce,Delhi NCR,19621,2707698,411205.13,2296492.87,1373470,117091.33,14247,7557,2502,30,0.6704,True,Simulated assumption; not Red Bull private data
2024-05-01,E-commerce,Bengaluru,21292,2938296,557966.1,2380329.9,1490440,149438.72,15413,7480,2866,31,0.6828,True,Simulated assumption; not Red Bull private data
2024-05-01,E-commerce,Hyderabad,18693,2579634,537658.0,2041976.0,1308510,116456.81,13797,6747,2486,25,0.7085,True,Simulated assumption; not Red Bull private data
2024-05-01,E-commerce,Pune,16361,2257818,404358.17,1853459.83,1145270,131279.32,10865,5049,2033,23,0.6743,True,Simulated assumption; not Red Bull private data
2024-05-01,E-commerce,Chennai,15787,2178606,298120.66,1880485.34,1105090,105267.47,11859,5964,2087,21,0.6148,True,Simulated assumption; not Red Bull private data
2024-05-01,Quick commerce,Mumbai,25790,3868500,798617.05,3069882.95,1908460,186561.01,18393,8118,3676,37,0.6159,True,Simulated assumption; not Red Bull private data
2024-05-01,Quick commerce,Delhi NCR,24749,3712350,799479.67,2912870.33,1831426,156463.0,16332,7250,3641,27,0.6593,True,Simulated assumption; not Red Bull private data
2024-05-01,Quick commerce,Bengaluru,26653,3997950,681650.4,3316299.6,1972322,182149.1,19841,9307,4549,37,0.6774,True,Simulated assumption; not Red Bull private data
2024-05-01,Quick commerce,Hyderabad,21568,3235200,526928.71,2708271.29,1596032,118765.95,15446,7099,2990,31,0.6922,True,Simulated assumption; not Red Bull private data
2024-05-01,Quick commerce,Pune,17671,2650650,549541.63,2101108.37,1307654,101849.56,13330,5728,2648,27,0.6748,True,Simulated assumption; not Red Bull private data
2024-05-01,Quick commerce,Chennai,20373,3055950,642664.11,2413285.89,1507602,108342.87,15318,7714,3182,27,0.6787,True,Simulated assumption; not Red Bull private data
2024-05-01,Cafés,Mumbai,11806,2066050,125976.94,1940073.06,968092,142222.46,9294,5170,984,30,0.6653,True,Simulated assumption; not Red Bull private data
2024-05-01,Cafés,Delhi NCR,12086,2115050,92381.08,2022668.92,991052,133094.76,8833,5183,994,27,0.6553,True,Simulated assumption; not Red Bull private data
2024-05-01,Cafés,Bengaluru,12416,2172800,86350.33,2086449.67,1018112,108989.44,9276,4792,1064,28,0.6774,True,Simulated assumption; not Red Bull private data
2024-05-01,Cafés,Hyderabad,10717,1875475,40932.81,1834542.19,878794,128639.63,8020,4177,918,26,0.6279,True,Simulated assumption; not Red Bull private data
